name,parliamentary_constituency,latt_long,network,county,region,needs
Antrim,South Antrim,"54.7144973,-6.218284300000001",Trussell Trust,Northern Ireland,Northern Ireland,"['Easter Eggs', 'Biscuits / Snack Bars', 'UHT Milk\xa0(2 Litres)', 'Fruit Juice (1 Litre)', 'Tea & Coffee', 'Tinned Fruit', 'Tinned Fish', 'Rice Pudding / Custard']"
Richmond,Richmond Park,"51.4575,-0.3036111",Trussell Trust,Greater London,London,"['Long-life Juice', 'Tinned Fish And Tinned Meat', 'Pasta Sauces', 'Disposable Razors', 'Milk', 'Washing Up Liquid', 'Shaving Foam', 'Deodorant (Men And Women)', 'Shower Gel', 'Crisps', 'Cooking Oil']"
We Care,"Lewisham, Deptford","51.4713868,-0.025283",Independent,Greater London,London,
Berwick,Berwick-upon-Tweed,"55.7730684,-2.0081512",IFAN,Northumberland,North East,
Towcester,South Northamptonshire,"52.1293859,-0.9866189",Trussell Trust,Northamptonshire,East Midlands,
St Neots,Huntingdon,"52.210893,-0.29104",Trussell Trust,Cambridgeshire,East,
Liberty,Croydon North,"51.4109242,-0.1221567",IFAN,Greater London,London,
Haven Centre,Broxtowe,"52.9349593,-1.2614347",Independent,Nottinghamshire,East Midlands,
Walsall North,Aldridge-Brownhills,"52.62842149999999,-1.9682499",Trussell Trust,Staffordshire,West Midlands,
Ely,South East Cambridgeshire,"52.4009565,0.2620199",Trussell Trust,Cambridgeshire,East,"['Rice', 'Long Life Milk', 'Tinned Fruit', 'Tinned Meat', 'Rice Pudding', 'Custard', 'Toilet Rolls Pk Of 4s Preferable', 'Laundry Products', 'Cleaning Products', ""Men's Deodorant And Shower Gel""]"
Derby City Mission,Derby South,"52.907944,-1.4667031",Independent,Derbyshire,West Midlands,
Rugby,Rugby,"52.3761675,-1.2646861",Trussell Trust,Warwickshire,West Midlands,"['Rice (500g)', 'Carrots (Tinned)', 'Quality Carrier Bags (Bags For Life)', 'Tinned Meat', 'Savoury Crackers', 'Potatoes (Tinned)', 'Sweetcorn (Tinned)', 'Custard (Tinned)', 'Hot Chocolate', 'Shampoo', 'Toilet Rolls', 'Quality Carrier Bags (Bags For Life)', 'Tinned Meat', 'Savoury Crackers', 'Sponge Puddings', 'Rice (500g)', 'Tinned Sweetcorn', 'Tinned Carrots', 'Cuppa -Soups', 'Deodorant', 'Washing Powder/tablets']"
Hound Basics,Eastleigh,"50.8771243,-1.3501132",IFAN,Hampshire,South East,"['Angel Delight', 'Antibacterial Wipes', 'Carrier Bags', 'Cereal', 'Cereal Bars', 'Children’s Shampoo', 'Chocolate Snack Bars', 'Clean Empty Jam Jars', 'Crisps', 'Evaporated Milk', 'Fruit Juice Long Life', 'Kitchen Rolls', 'Laundry Powder', 'Mash Potato Packets', 'Olive Oil (Small)', 'Pot Noodles', 'Quick Noodles', 'Quick Pasta', 'Sanitary Towels', 'Savoury Crackers', 'Small Jelly / Fruit Pots', 'Squash', 'Steamed Puddings', 'Sugar / Sweeteners', ""Swiss Roll (Molly's)"", 'Tinned Cold Meat', 'Tinned Dog Food', 'Toothpaste', 'UHT Milk', 'Vegetarian Fray Bentos Pies', 'Baby Food (7+ Months)', 'Baby Wash', 'Baby Wipes', 'Children’s Toothpaste/toothbrushes', 'Chocolate Bars / Sweets', 'Coffee (Small Size)', 'Cook-in Sauces (Tomato)', 'Cook-in Sauces - Non-tomato', 'Cuppa Soup', 'Dry Cat Food', 'Dry Dog Food', 'Dry Rice', 'Dry Spaghetti', 'Empty Egg Boxes', 'Fabric Conditioner', 'Gluten Free Items', 'Hair Conditioner', 'Hot Chocolate / Horlicks', 'Hot Dogs', 'Household Cleaning Items', 'Jam / Marmalade', 'Jelly Powder Packets', ""Kids' Healthy Snacks, E.g., Raisins"", 'Lasagne Sheets', 'Marmite', 'Mayonnaise', ""Men's Antiperspirant / Deodorant"", 'Nappy Sacks', 'Packet Sauces', 'Peanut Butter', 'Porridge Pots', 'Quick Rice', 'Shampoo (Unisex)', 'Shower Gel / Shampoo (Unisex)', 'Small Size Porridge (500g) Or Porridge Pots', 'Stock Cubes / Gravy Granules', 'Tinned Cat Food', 'Tinned Chicken Meals', 'Tinned Custard', 'Tinned Spaghetti', 'Tinned Sweetcorn', 'Tissues', 'Toilet Rolls', 'Tomato Sauce / Brown Sauce', 'Tuna Pasta Bake Packet Sauce', 'White Lasagne Sauce', ""Women's Deodorant/toiletries""]"
Ballycastle,North Antrim,"55.199627,-6.2587519",Trussell Trust,Northern Ireland,Northern Ireland,
Camden,Holborn and St Pancras,"51.5371453,-0.1404591",Trussell Trust,Greater London,London,
EK Community,"East Kilbride, Strathaven and Lesmahagow","55.776864,-4.151128",IFAN,Scotland,Scotland,
Wadebridge,North Cornwall,"50.5167024,-4.8373431",Trussell Trust,Cornwall,South West,"['Long-life Milk', 'Size 5 & 6 Nappies', 'Household Cleaner (No Bleach Please)', 'Shampoo', 'Custard', 'Sponge Pudding', 'Jam', 'Rice Pudding']"
South Gwynedd,Dwyfor Meirionnydd,"52.7232767,-4.0561627",Trussell Trust,Wales,Wales,
Southampton Basics Bank,"Southampton, Test","50.9177449,-1.4594388",IFAN,Hampshire,South East,"['Carrier Bags', 'Coffee\xa0(Small Jars)', 'Cook-in Sauces\xa0(Jars & Packets)', 'Custard', 'Hot Chocolate', 'Jams & Spreads', 'Nappies Size 4 – 6', 'Noodles\xa0(Packets)', 'Squash & Drinks', 'Sugar\xa0(Small Bags)', 'Tinned Carrots', 'Tinned Cold Meat\xa0(Ham, Spam, Etc.)', 'Tinned Hot Meat\xa0(Curry, Pies, Stew, Etc.)', 'Tinned Kidney Beans & Pulses', 'Tinned Mixed Veg', 'Tinned Rice Pudding', 'Tinned Spaghetti\xa0(In Tomato Sauce)', 'Tinned Sweetcorn', 'Toiletries (Shampoo)', 'Toiletries (Toilet Rolls)', 'Baby Food', 'Household Larder', 'Rice', 'Tinned Fruit', 'Toiletries (Male & Female Deodorant)', 'Toiletries (Soap & Shower Gel)', 'Pet Food\xa0(Dogs)', 'UHT Milk', 'Carrier Bags', 'Coffee\xa0(Small Jars)', 'Cook-in Sauces\xa0(Jars & Packets)', 'Custard', 'Hot Chocolate', 'Jams & Spreads', 'Nappies Size 4 – 6', 'Noodles\xa0(Packets)', 'Squash & Drinks', 'Sugar\xa0(Small Bags)', 'Tinned Carrots', 'Tinned Cold Meat\xa0(Ham, Spam, Etc.)', 'Tinned Hot Meat\xa0(Curry, Pies, Stew, Etc.)', 'Tinned Kidney Beans & Pulses', 'Tinned Mixed Veg', 'Tinned Rice Pudding', 'Tinned Spaghetti\xa0(In Tomato Sauce)', 'Tinned Sweetcorn', 'Toiletries (Shampoo)', 'Toiletries (Toilet Rolls)', 'UHT Milk', 'Baby Food', 'Household Larder', 'Rice', 'Tinned Fruit', 'Toiletries (Male & Female Deodorant)', 'Toiletries (Soap & Shower Gel)', 'Pet Food\xa0(Dogs)', 'Carrier Bags', 'Coffee\xa0(Small Jars)', 'Cook-in Sauces\xa0(Jars & Packets)', 'Custard', 'Hot Chocolate', 'Jams & Spreads', 'Nappies Size 4 – 6', 'Noodles\xa0(Packets)', 'Squash & Drinks', 'Sugar\xa0(Small Bags)', 'Tinned Carrots', 'Tinned Cold Meat\xa0(Ham, Spam, Etc.)', 'Tinned Hot Meat\xa0(Curry, Pies, Stew, Etc.)', 'Tinned Mixed Veg', 'Tinned Rice Pudding', 'Tinned Spaghetti\xa0(In Tomato Sauce)', 'Tinned Sweetcorn', 'Toiletries (Shampoo)', 'Toiletries (Toilet Rolls)', 'UHT Milk', 'Baby Food', 'Household Larder', 'Rice', 'Tinned Fruit', 'Tinned Kidney Beans & Pulses', 'Treats\xa0(Chocolate, Crisps, Etc.)', 'Toiletries (Male & Female Deodorant)', 'Toiletries (Soap & Shower Gel)', 'Pet Food\xa0(Dogs)']"
West Dunbartonshire Community Foodshare,West Dunbartonshire,"55.9448642,-4.5735445",IFAN,Scotland,Scotland,
Rhyl,Vale of Clwyd,"53.3209984,-3.4920537",Trussell Trust,Wales,Wales,
Walk INN,Belfast East,"54.5979329,-5.8875867",IFAN,Northern Ireland,Northern Ireland,
CEYP,Eltham,"51.4504283,0.0578639",IFAN,Greater London,London,
Swale,Sittingbourne and Sheppey,"51.3387033,0.7443917999999999",Trussell Trust,Kent,South East,
Taff-Ely,Pontypridd,"51.5262125,-3.3886905",Trussell Trust,Wales,Wales,
Central and West Integration Network,Glasgow Central,"55.86626709999999,-4.2615877",IFAN,Scotland,Scotland,
Corby,Corby,"52.4858617,-0.7201062",Trussell Trust,Northamptonshire,East Midlands,"['Soup', 'Tinned Fish', 'Tinned Fruit', 'Rice', 'UHT Milk', 'Feminine Products', 'Shower Gel', 'Toothpaste']"
Hebburn Helps,Jarrow,"54.9754382,-1.5106201",IFAN,Tyne and Wear,North East,
Dad's House,Kensington,"51.500811,-0.1893605",IFAN,Greater London,London,
Portsmouth,Portsmouth South,"50.793674,-1.08432",Trussell Trust,Hampshire,South East,
Hart,North East Hampshire,"51.2738835,-0.8397549",Trussell Trust,County Durham,North East,"['Tins: Meat, Vegetables, Soup, Custard, Rice Pudding, Fruit', 'Small Packs: Washing Detergent, Cleaning Products']"
Hailsham,Wealden,"50.8622879,0.2603064",Trussell Trust,East Sussex,South East,"['Longlife Apple Or Orange Juice', 'Tinned Rice Pudding/custard', 'Desserts - Jelly, Instant Whip, Longlife Cakes. Mini Chocolate Rolls Etc.', 'Tinned Tomatoes/tomato Based Pasta Sauce', 'Longlife Dairy Milk', 'Tinned Carrots/sweetcorn/peas', 'Toilet Rolls/shower Gel/deodorant/liquid Soap', 'Instant Mash', 'Crisps', 'Tomato Ketchup/brown Sauce', 'Sweet Treats - Chocolate/cereal Bars', 'Tinned Meat - Hotdogs, Chicken, Mince, Steak Etc.', 'Size 3, 4 And 5 Nappies And Size 5 And 6 Pull Ups']"
GowanbankGRUB,Glasgow South West,"55.8146146,-4.360062399999999",Independent,Scotland,Scotland,
Dorking Area,Mole Valley,"51.2325293,-0.3326282",Trussell Trust,Surrey,South East,"['Packs Of Muesli Bars', 'Small Jars Of Instant Coffee', 'Tins Of Meat', 'Cartons Of Long-life Fruit Juice', 'Pouches Of Microwaveable Rice', 'Washing Up Liquid', 'Twin-packed Sponge Puddings', 'Snack Bars', 'UHT Milk (Full-fat)', 'Tinned Meat And Tinned Meat Meals']"
Broxbourne,Broxbourne,"51.719237,-0.0360736",Trussell Trust,Hertfordshire,East,
Renfrewshire,Paisley and Renfrewshire South,"55.86106359999999,-4.451613",Trussell Trust,Scotland,Scotland,
Wandsworth,Battersea,"51.4604982,-0.1702023",Trussell Trust,Greater London,London,
Old Kilpatrick Food Parcels,West Dunbartonshire,"55.9251744,-4.4559053",Independent,Scotland,Scotland,
Inverclyde,Inverclyde,"55.950722,-4.7613899",Trussell Trust,Scotland,Scotland,
South Derbyshire CVS,South Derbyshire,"52.772223,-1.5529845",Independent,Derbyshire,West Midlands,
Kidderminster,Wyre Forest,"52.38883209999999,-2.2476981",Trussell Trust,Worcestershire,West Midlands,
Bristol North West,Bristol North West,"51.5009585,-2.6986143",Trussell Trust,Bristol,South West,
Chorlton & Didsbury,"Manchester, Withington","53.4309911,-2.2769011",Trussell Trust,Greater Manchester,North West,"['Tinned Fruit', 'Rice Pudding/custard', 'Tinned Tomatoes', 'Long Life Milk', 'Long Life Fruit Juice', 'Tinned Meat', 'Chocolate', 'All Toiletries']"
Brecon,Brecon and Radnorshire,"51.9520007,-3.3927188",Trussell Trust,Wales,Wales,"['Instant Mash', 'Long-life Fruit Juice', 'Tinned Fish Other Than Tuna And Mackerel, Such As Salmon', 'Tinned Spaghetti', 'Tinned Vegetables', 'Tomato Ketchup', 'Squash', 'UHT Milk', 'Teabags', 'Jam, Marmalade Etc.', 'Cereal', 'Jelly', 'Sponge Puddings', '2-helping Dried Pasta In Sauce', 'Single Adult Toothbrushes', 'Hair Conditioner', 'Washing Detergent', ""Children's Shampoo, Shower Gel, Bubble Bath"", 'Dried Cat Food', 'Instant Mash', 'Long-life Fruit Juice', 'Tinned Fish Other Than Tuna And Mackerel, Such As Salmon', 'Tinned Spaghetti', 'Squash', 'UHT Milk', 'Teabags', 'Jam, Marmalade Etc.', 'Cereal', 'Jelly', 'Sponge Puddings', '2-helping Dried Pasta In Sauce', 'Single Adult Toothbrushes', 'Hair Conditioner', 'Washing Detergent', ""Children's Shampoo, Shower Gel, Bubble Bath"", 'Instant Mash', 'Long-life Fruit Juice', 'Tinned Tomatoes (Not Extra-large Tins)', 'Adult Toothpaste', 'Tinned Fish Other Than Tuna And Mackerel, Such As Salmon', 'Tinned Spaghetti', 'Sweets And Chocolates', 'Squash', 'UHT Milk', 'Teabags', 'Jam, Marmalade Etc.', 'Cereal', 'Jelly', 'Sponge Puddings', '2-helping Dried Pasta In Sauce', 'Single Adult Toothbrushes', 'Hair Conditioner', 'Washing Detergent', ""Children's Shampoo, Shower Gel, Bubble Bath"", 'Tinned Tomatoes (Not Extra-large Tins)', 'Instant Mash', 'Tinned Fish Other Than Tuna And Mackerel, Such As Salmon', 'Tinned Spaghetti', 'Tinned Pulses (Red Kidney Beans, Chick Peas, Lentils Etc.)', 'Easter Eggs', 'Sweets And Chocolates', 'Long-life Fruit Juice', 'Squash', 'UHT Milk', 'Teabags', 'Jam, Marmalade Etc.', 'Cereal', 'Jelly', 'Sponge Puddings', '2-helping Dried Pasta In Sauce', 'Single Adult Toothbrushes', 'Adult Toothpaste', 'Hair Conditioner', 'Washing Detergent', ""Children's Shampoo"", 'Shower Gel', 'Bubble Bath', 'Tinned Tomatoes (Not Extra-large Tins)', 'Instant Mash', 'Tinned Fish Other Than Tuna And Mackerel, Such As Salmon', 'Tinned Spaghetti', 'Tinned Pulses (Red Kidney Beans, Chick Peas, Lentils Etc.)', 'Easter Eggs', 'Sweets And Chocolates', 'Long-life Fruit Juice', 'Squash', 'UHT Milk', 'Teabags', 'Jam, Marmalade Etc.', 'Cereal', 'Cup-a-soups', 'Jelly', 'Sponge Puddings', '2-helping Dried Pasta In Sauce', 'Single Adult Toothbrushes', 'Adult Toothpaste', 'Hair Conditioner', 'Washing-up Liquid', 'Washing Detergent', ""Children's Shampoo, Shower Gel, Bubble Bath"", 'Tinned & Dried Cat Food', 'Tinned & Dried Dog Food']"
Kingsbridge,Totnes,"50.2875506,-3.7778867",Independent,Devon,South West,
FIND (Ipswich),Ipswich,"52.0312486,1.1887518",Independent,Suffolk,East,
Normanton,"Normanton, Pontefract and Castleford","53.7014818,-1.4115644",Trussell Trust,West Yorkshire,Yorkshire & Humber,
Liskeard & Looe,South East Cornwall,"50.4563913,-4.4660418",Trussell Trust,Cornwall,South West,"['Tinned Potatoes & Carrots', 'Sugar', 'Washing Powder', 'Microwaveable Pouches Of Rice', 'Mashed Potato Sachets', 'Washing Powder', 'Spaghetti Hoops', 'Men & Ladies Deodorant', 'Biscuits']"
BAY,Tynemouth,"55.0018375,-1.4676806",Independent,Tyne and Wear,North East,
Gravesham,Gravesham,"51.4352302,0.3926849",Trussell Trust,Kent,South East,"['Tins Of Fruit', 'Tins Of Custard', 'Tins Of Rice Pudding', 'Tin Tomatoes', 'Tin Hotdogs', 'Tin Potatoes', 'Tins Of Ham', 'Tins Of Pilchards And Salmon', 'Tins Of Macaroni Cheese', 'Egg Noodles', 'Biscuits', 'Ready Made Jellies', 'Jars Of Peanut Butter', 'Small Bottles Of Squash/cordial', 'Tins Of Fruit', 'Tins Of Custard', 'Cooking Oil (Regular Size)', 'Cartons Of Long Life Milk - Green And Blue', 'Instant Packets Of Noodles Eg, Super Noodles', 'Biscuits', 'Ready Made Jellies', 'Gravy Granules', 'Tins Of Macaroni Cheese', 'Small Bottles Of Squash/cordial', 'Instant Packets Of Cous Cous', 'Crackers', 'Cereal Bars', 'Confectionery', 'Mayonnaise', 'Tomato Sauce', 'Gravy Granules']"
Irlam and Cadishead,Worsley and Eccles South,"53.45549459999999,-2.408604",Trussell Trust,Greater Manchester,North West,
Newtownabbey,South Antrim,"54.6843193,-5.9521367",Trussell Trust,Northern Ireland,Northern Ireland,
Truro,Truro and Falmouth,"50.2624962,-5.0818445",Trussell Trust,Cornwall,South West,"['Packets Of Rice (500g Or 1 Kg)', 'Breakfast Cereals (Including Porridge & Granola)', 'Long-life Milk', 'Long-life Fruit Juice', 'Pasta Sauce', 'Laundry Liquid/powder', 'Deodorant', 'Shampoo', 'Packets Of Rice (500g Or 1 Kg)', 'Breakfast Cereals (Including Porridge & Granola)', 'Long-life Milk', 'Long-life Fruit Juice', 'Laundry Liquid/powder', 'Deodorant', 'Shampoo']"
Waterside,New Forest East,"50.8185773,-1.3730243",Trussell Trust,Hampshire,South East,
St Paul's Pantry (Crewe),Crewe and Nantwich,"53.100646,-2.4471458",IFAN,Cheshire,West Midlands,
Middleton Central,Heywood and Middleton,"53.548664,-2.201735",Trussell Trust,Greater Manchester,North West,
Ribble Valley,Ribble Valley,"53.87119209999999,-2.3916425",Trussell Trust,Lancashire,North West,
Living Well Bromley,Lewisham West and Penge,"51.4187458,-0.0487324",Independent,Greater London,London,
South Normanton Area,Bolsover,"53.1080182,-1.3409034",Trussell Trust,Derbyshire,West Midlands,"['Soup', 'Small Jars Of Coffee', 'Long Life Fruit Juice (1 Litre) Or No Added Sugar Squash', 'Tinned Fish', 'Jam', 'Tinned Vegetables, Peas, Carrots, Potatoes', 'Tinned Tomatoes']"
Ardwick & Longsight,Manchester Central,"53.4605352,-2.2080053",IFAN,Greater Manchester,North West,
Bridgend,Bridgend,"51.5077892,-3.5766762",Trussell Trust,Wales,Wales,
Salisbury,Salisbury,"51.071943,-1.8127833",Trussell Trust,Wiltshire,South West,
Southport,Southport,"53.6596988,-2.9986453",Trussell Trust,Lancashire,North West,
3food4u,Epping Forest,"51.6867727,-0.0015791",IFAN,Essex,East,
Blackpool's Voice,Blackpool South,"53.8100901,-3.0547828",Independent,Lancashire,North West,
Highbridge Area,Wells,"51.221063,-2.9758076",Trussell Trust,Somerset,South West,
Bestwood & Bulwell,Nottingham North,"53.0049647,-1.1696496",Trussell Trust,Nottinghamshire,East Midlands,
Shrewsbury,Shrewsbury and Atcham,"52.7047712,-2.7463504",Independent,Shropshire,West Midlands,
Daventry,Daventry,"52.2584685,-1.14853",Trussell Trust,Northamptonshire,East Midlands,
Leeds North & West,Leeds West,"53.81100499999999,-1.586401",Trussell Trust,West Yorkshire,Yorkshire & Humber,
Penzance,St Ives,"50.1286255,-5.54136",Independent,Cornwall,South West,
The Orchard Liverpool,Garston and Halewood,"53.3487091,-2.8926632",IFAN,Merseyside,North West,
Westminster,Cities of London and Westminster,"51.49888499999999,-0.138101",Trussell Trust,Greater London,London,
Edinburgh SE,Edinburgh South,"55.89835249999999,-3.1579156",Trussell Trust,Scotland,Scotland,
Whitby,Scarborough and Whitby,"54.4871557,-0.6174978",IFAN,North Yorkshire,Yorkshire & Humber,
Elizabeth House,Islington North,"51.5597074,-0.09908059999999999",Independent,Greater London,London,
Basingstoke,Basingstoke,"51.2626953,-1.0911414",Trussell Trust,Hampshire,South East,
Earlsfield,Tooting,"51.4402785,-0.1864695",IFAN,Greater London,London,
Norwich,Norwich South,"52.635319,1.2547852",Trussell Trust,Norfolk,East,
Carrickfergus,East Antrim,"54.72484919999999,-5.8333355",Trussell Trust,Northern Ireland,Northern Ireland,
Yiewsley & West Drayton,Uxbridge and South Ruislip,"51.51316079999999,-0.4730141",Trussell Trust,Greater London,London,"['Long Grain Rice', 'Pulses', 'Tinned Vegetables', 'Tinned Potatoes', 'Instant Coffee', 'Long Life Milk (Ideally Full Fat Or Semi Skimmed)', 'Long Life Fruit Juice', 'Custard', 'Rice Pudding', 'Tinned Fruit', '1l Fruit Squash', 'Biscuits', 'Sugar (500g Or 1kg)', 'Dried Noodles', 'Tinned Spaghetti']"
Kensington & Chelsea,Kensington,"51.5150198,-0.2139442",Trussell Trust,Greater London,London,
Wyke,Bradford South,"53.7343373,-1.7721299",Trussell Trust,West Yorkshire,Yorkshire & Humber,
Alton,East Hampshire,"51.1484812,-0.9785286",Trussell Trust,Hampshire,South East,
Teignbridge Homeless Action Today,Newton Abbot,"50.5255057,-3.591804",Independent,Devon,South West,
Aylesbury,Aylesbury,"51.8233485,-0.8518391",Trussell Trust,Buckinghamshire,South East,
Aberdeen North,Aberdeen North,"57.1862689,-2.0887413",Trussell Trust,Scotland,Scotland,
Bedford,Bedford,"52.1547418,-0.4735833",Trussell Trust,Bedfordshire,East,
Hedge End,Eastleigh,"50.9123483,-1.3154357",IFAN,Hampshire,South East,
Freedom,Bolsover,"53.22318929999999,-1.2817066",IFAN,Derbyshire,West Midlands,
Hayle,Camborne and Redruth,"50.189237,-5.4174621",Independent,Cornwall,South West,
Helensburgh & Lomond,Argyll and Bute,"56.0021937,-4.7242533",Independent,Scotland,Scotland,
One Big Family Kent,Chatham and Aylesford,"51.3744138,0.5352985",Independent,Kent,South East,
Wansbeck Valley,Wansbeck,"55.1842753,-1.7098245",Independent,Northumberland,North East,
Lyme Regis,West Dorset,"50.7254417,-2.9318556",Independent,Devon,South West,
Braes Storehouse,Linlithgow and East Falkirk,"55.969829,-3.697538",IFAN,Scotland,Scotland,
Grantham,Grantham and Stamford,"52.9123952,-0.6461274",Trussell Trust,Lincolnshire,Yorkshire & Humber,
Wirral,Wallasey,"53.4063675,-3.0371518",Trussell Trust,Merseyside,North West,
The Raft Foundation,Rossendale and Darwen,"53.6968428,-2.2975389",IFAN,Lancashire,North West,
Leighton Linslade Community,South West Bedfordshire,"51.91785640000001,-0.6608434",Independent,Bedfordshire,East,
The Well,Wolverhampton North East,"52.598314,-2.127834",Independent,Staffordshire,West Midlands,
Kettering,Kettering,"52.40049,-0.720604",IFAN,Northamptonshire,East Midlands,
Banc Bwyd Bro Ddyfi,Montgomeryshire,"52.588973,-3.851876",IFAN,Wales,Wales,
North Lakes,Workington,"54.661517,-3.363845",Trussell Trust,Cumbria,North West,
Oxford CEF,Witney,"51.829335,-1.349959",IFAN,Oxfordshire,South East,
Sunderland,Sunderland Central,"54.906969,-1.370972",Trussell Trust,Tyne and Wear,North East,
Abingdon,Oxford West and Abingdon,"51.68172,-1.276529",Trussell Trust,Oxfordshire,South East,
Great Yarmouth,Great Yarmouth,"52.604295,1.728093",Independent,Norfolk,East,
Sleaford New Life Community Larder,Sleaford and North Hykeham,"52.994443,-0.40669",Independent,Lincolnshire,Yorkshire & Humber,
Bute,Argyll and Bute,"55.836919,-5.052309",IFAN,Scotland,Scotland,
Growth Foodbank,Rayleigh and Wickford,"51.584544,0.606007",IFAN,Essex,East,
Holbeach Community Larder,South Holland and The Deepings,"52.8035192,0.0146415",Independent,Lincolnshire,Yorkshire & Humber,
Govan Community Project,Glasgow South West,"55.863617,-4.312623",IFAN,Scotland,Scotland,
King's Cross,Islington South and Finsbury,"51.5309448,-0.1182467",Independent,Greater London,London,
Prestatyn & Meliden,Vale of Clwyd,"53.335769,-3.423673",Trussell Trust,Wales,Wales,
Harlow,Harlow,"51.786305,0.17908",Trussell Trust,Essex,East,
Fosse,Kenilworth and Southam,"52.157015,-1.512028",Trussell Trust,Warwickshire,West Midlands,
Bangor NI,North Down,"54.6450616,-5.6673317",Trussell Trust,Northern Ireland,Northern Ireland,
Wrexham,Wrexham,"53.037304,-3.008481",Trussell Trust,Wales,Wales,
Edinburgh Food Project,Edinburgh South West,"55.926828,-3.282656",Trussell Trust,Scotland,Scotland,
Ammanford,Carmarthen East and Dinefwr,"51.790559,-3.991411",Trussell Trust,Wales,Wales,"['Tinned Tomatoes', 'Tinned Carrots', 'Tinned Fruit', 'Tinned Potatoes', 'Instant Coffee', 'Tinned Fish', 'Biscuits', 'Toiletries']"
Black Country,Dudley South,"52.4828743,-2.1226393",IFAN,West Midlands,West Midlands,
Stevenage Community,Stevenage,"51.901322,-0.203272",Independent,Hertfordshire,East,
Nottingham,Nottingham South,"52.9559076,-1.1557387",Trussell Trust,Nottinghamshire,East Midlands,
Albrighton,The Wrekin,"52.637251,-2.283111",IFAN,Shropshire,West Midlands,
Woodgate Community Food,Leicester West,"52.641345,-1.149477",Independent,Leicestershire,East Midlands,
Hamilton District,Lanark and Hamilton East,"55.775423,-4.033108",Trussell Trust,Scotland,Scotland,
Bridgnorth,Ludlow,"52.533416,-2.420177",IFAN,Shropshire,West Midlands,
Enderby Mission Church,South Leicestershire,"52.590755,-1.211414",Independent,Leicestershire,East Midlands,
Seahaven,Lewes,"50.796711,0.049095",Independent,East Sussex,South East,
Salford,Blackley and Broughton,"53.491732,-2.260527",Trussell Trust,Greater Manchester,North West,
People Matter,Tiverton and Honiton,"50.856102,-3.391268",IFAN,Devon,South West,
Runcorn District,Halton,"53.329966,-2.7487875",Trussell Trust,Cheshire,West Midlands,"['Tinned Tomatoes', 'Washing Up Liquid', 'Nappies (Sizes 4,5,6 - Not Smaller Ones)', 'Bags For Life (Sturdy Shopping Bags)']"
East Renfrewshire,East Renfrewshire,"55.799291,-4.389542",Trussell Trust,Scotland,Scotland,
Anglesey,Ynys Môn,"53.310032,-4.634499",Trussell Trust,Wales,Wales,
Windsor Food Share,,"51.47884579999999,-0.6443538999999999",Independent,Berkshire,South East,
Bow,Poplar and Limehouse,"51.528163,-0.018342",Independent,Greater London,London,
Storehouse Melton,Rutland and Melton,"52.765705,-0.88764",Independent,Leicestershire,East Midlands,
Blackwood & District,Islwyn,"51.66693,-3.207447",Trussell Trust,Wales,Wales,
Rainham,Dagenham and Rainham,"51.528429,0.169958",Trussell Trust,Greater London,London,
Sherwood Forest,Mansfield,"53.164484,-1.193319",Trussell Trust,Derbyshire,West Midlands,
Bethnal Green,Bethnal Green and Bow,"51.5311636,-0.0511215",IFAN,Greater London,London,
Potters Bar,Hertsmere,"51.69317,-0.168062",Trussell Trust,Hertfordshire,East,
The Vennie Food Outlet,Livingston,"55.9082094,-3.52364",Independent,Scotland,Scotland,
Gillingham Street Angels,Chatham and Aylesford,"51.37657,0.526704",Independent,Kent,South East,
Northfleet Hive Hope,Gravesham,"51.445353,0.327806",Independent,Kent,South East,
Newmarket Open Door,West Suffolk,"52.256355,0.393123",IFAN,Cambridgeshire,East,
St Annes Advice Nottingham,Nottingham East,"52.96306,-1.137861",Independent,Nottinghamshire,East Midlands,
Belfast West,Belfast West,"54.5996784,-5.9511213",Independent,Northern Ireland,Northern Ireland,
North Oxfordshire,Oxford West and Abingdon,"51.825084,-1.283609",Independent,Oxfordshire,South East,
Burgess Hill,Mid Sussex,"50.9564479,-0.1322326",Independent,West Sussex,South East,
L'chaim Chabad,Blackley and Broughton,"53.51538,-2.261049",Independent,Greater Manchester,North West,
Start Up,Stirling,"56.115047,-3.918276",IFAN,Scotland,Scotland,
Edenbridge,Tonbridge and Malling,"51.1962185,0.0649566",Trussell Trust,East Sussex,South East,
Thorne And Moorends,Don Valley,"53.612108,-0.954862",IFAN,South Yorkshire,Yorkshire & Humber,
East & West Nottingham,Broxtowe,"52.935547,-1.215333",Trussell Trust,Nottinghamshire,East Midlands,
Crookson,Glasgow South West,"55.832896,-4.360302",IFAN,Scotland,Scotland,
Abergavenny,Monmouth,"51.824231,-3.020204",Trussell Trust,Wales,Wales,"['Tinned Custard', 'Tea', 'Tinned Fruit', 'Small Jars Of Coffee', 'Tinned Chicken In White Sauce Or Minced Beef', 'Pot Noodles', 'Toothpaste', 'Squash', 'Tinned Custard', 'Tea', 'Tinned Fruit', 'Small Jars Of Coffee', 'Tinned Chicken In White Sauce Or Minced Beef', 'Shampoo', 'Toothpaste', 'Squash']"
Droitwich Spa,Mid Worcestershire,"52.267577,-2.151921",Trussell Trust,Worcestershire,West Midlands,
Northern Devon,Torridge and West Devon,"51.018516,-4.209338",Trussell Trust,Devon,South West,
